ramal,estacao,ano,passageiros
Deodoro,Engenho Novo,1996,1017.52
Deodoro,Engenho Novo,1997,725.184
Deodoro,Engenho Novo,1998,507.646
Deodoro,Engenho Novo,1999,675.424
Deodoro,Engenho Novo,2000,796.632
Deodoro,Méier,1995,2733.451
Deodoro,Méier,1996,2551.372
Deodoro,Méier,1997,1897.663
Deodoro,Méier,1998,1363.864
Deodoro,Méier,1999,1760.587
Deodoro,Méier,2000,2076.533
Deodoro,Engenho de Dentro,1995,2195.052
Deodoro,Engenho de Dentro,1996,1934.905
Deodoro,Engenho de Dentro,1997,1575.929
Deodoro,Engenho de Dentro,1998,1279.398
Deodoro,Engenho de Dentro,1999,1691.582
Deodoro,Engenho de Dentro,2000,1995.145
Deodoro,Piedade,1995,940.624
Deodoro,Piedade,1996,852.056
Deodoro,Piedade,1997,641.203
Deodoro,Piedade,1998,181.222
Deodoro,Piedade,1999,471.052
Deodoro,Piedade,2000,555.585
Deodoro,Quintino Bocaiúva,1995,747.84
Deodoro,Quintino Bocaiúva,1996,676.235
Deodoro,Quintino Bocaiúva,1997,529.144
Deodoro,Quintino Bocaiúva,1998,340.497
Deodoro,Quintino Bocaiúva,1999,510.876
Deodoro,Quintino Bocaiúva,2000,602.555
Deodoro,Cascadura,1995,2626.087
Deodoro,Cascadura,1996,2103.009
Deodoro,Cascadura,1997,1549.482
Deodoro,Cascadura,1998,1196.183
Deodoro,Cascadura,1999,1757.71
Deodoro,Cascadura,2000,2073.14
Deodoro,Madureira,1995,5754.889
Deodoro,Madureira,1996,4984.066
Deodoro,Madureira,1997,3659.3
Deodoro,Madureira,1998,2456.007
Deodoro,Madureira,1999,3347.817
Deodoro,Madureira,2000,3948.6
Deodoro,Oswaldo Cruz,1995,919.002
Deodoro,Oswaldo Cruz,1996,885.645
Deodoro,Oswaldo Cruz,1997,681.475
Deodoro,Oswaldo Cruz,1998,560.028
Deodoro,Oswaldo Cruz,1999,647.316
Deodoro,Oswaldo Cruz,2000,763.48
Deodoro,Bento Ribeiro,1995,999.639
Deodoro,Bento Ribeiro,1996,938.562
Deodoro,Bento Ribeiro,1997,797.795
Deodoro,Bento Ribeiro,1998,575.788
Deodoro,Bento Ribeiro,1999,669.801
Deodoro,Bento Ribeiro,2000,790
Deodoro,Marechal Hermes,1995,2027.56
Deodoro,Marechal Hermes,1996,1975.117
Deodoro,Marechal Hermes,1997,1524.594
Deodoro,Marechal Hermes,1998,914.595
Deodoro,Marechal Hermes,1999,1050.911
Deodoro,Marechal Hermes,2000,1239.502
Deodoro,Deodoro,1995,2055.415
Deodoro,Deodoro,1996,1952.143
Deodoro,Deodoro,1997,2016.603
Deodoro,Deodoro,1998,1263.552
Deodoro,Deodoro,1999,1039.936
Deodoro,Deodoro,2000,1226.558
Santa Cruz,Vila Militar,1995,46.804
Santa Cruz,Vila Militar,1996,45.061
Santa Cruz,Vila Militar,1997,27.051
Santa Cruz,Vila Militar,1998,17.371
Santa Cruz,Vila Militar,1999,42.238
Santa Cruz,Vila Militar,2000,55.755
Santa Cruz,Cel. Magalhães Bastos,1995,147.394
Santa Cruz,Cel. Magalhães Bastos,1996,93.222
Santa Cruz,Cel. Magalhães Bastos,1997,54.543
Santa Cruz,Cel. Magalhães Bastos,1998,46.096
Santa Cruz,Cel. Magalhães Bastos,1999,107.516
Santa Cruz,Cel. Magalhães Bastos,2000,141.924
Santa Cruz,Realengo,1995,391.991
Santa Cruz,Realengo,1996,266.667
Santa Cruz,Realengo,1997,144.921
